"","Station","Pollutant","Period","Month","Ndays","Median","Pval","Pval_old"
"354","Brampton","NO2","2020","June",22,5.38034420289855,0.867,0.4572
"355","Brampton","NO2","2020","July",23,3.49583333333333,0.1176,NA
"356","Brampton","NO2","2020","August",21,4.0375,0.4901,NA
"357","Brampton","NO2","2020","September",22,4.67400362318841,0.0421,NA
"358","Brampton","NO2","2020","October",22,5.80833333333333,0.0859,NA
"359","Brampton","NO2","2020","November",21,8.05833333333333,0.704,NA
"360","Brampton","NO2","2020","December",23,5.94583333333333,0.0749,NA
"361","Chatham","O3","2017-2019","January",67,24.7916666666667,0.0778,0.072
"362","Chatham","O3","2017-2019","February",60,28.6458333333333,0.5614,0.5548
"363","Chatham","O3","2017-2019","March",66,34.1969696969697,0.2321,0.2297
"364","Chatham","O3","2017-2019","April",63,36.625,0.0071,0.0074
"365","Chatham","O3","2017-2019","May",69,34.9166666666667,0.3448,0.3198
"366","Chatham","O3","2017-2019","June",63,35.4583333333333,0.4707,0.3814
"367","Chatham","O3","2017-2019","July",66,33.0625,0.6329,NA
"368","Chatham","O3","2017-2019","August",68,32.0625,0.5454,NA
"369","Chatham","O3","2017-2019","September",62,25.375,0.0055,NA
"370","Chatham","O3","2017-2019","October",68,23.7916666666667,0.6311,NA
"371","Chatham","O3","2017-2019","November",65,21.25,0.8629,NA
"372","Chatham","O3","2017-2019","December",64,21.8333333333333,0.1651,NA
"373","Chatham","O3","2020","January",23,22.6666666666667,0.1706,0.1601
"374","Chatham","O3","2020","February",20,30.8125,0.1859,0.1851
"375","Chatham","O3","2020","March",22,28.8125,1e-04,4e-04
"376","Chatham","O3","2020","April",22,35.0625,0.1784,0.1776
"377","Chatham","O3","2020","May",21,32.3333333333333,0.1533,0.1563
"378","Chatham","O3","2020","June",22,39.4802631578947,0.0647,0.0669
"379","Chatham","O3","2020","July",23,35.5833333333333,0.2396,NA
"380","Chatham","O3","2020","August",21,28.4583333333333,0.0694,NA
"381","Chatham","O3","2020","September",22,25.75,0.9099,NA
"382","Chatham","O3","2020","October",22,23.625,0.9739,NA
"383","Chatham","O3","2020","November",21,24.5833333333333,0.0569,NA
